image,hand_point,x,y,z
IMG_20220509_134210.jpg,0,0.0,0.0,0.0
IMG_20220509_134210.jpg,1,-0.13455700874328613,-0.008688569068908691,-0.16450984130608504
IMG_20220509_134210.jpg,2,-0.2589101195335388,-0.05997169017791748,-0.2314822311233229
IMG_20220509_134210.jpg,3,-0.37172552943229675,-0.1176106333732605,-0.2559509510825819
IMG_20220509_134210.jpg,4,-0.418791800737381,-0.18144845962524414,-0.26263933728444044
IMG_20220509_134210.jpg,5,-0.09904927015304565,-0.24566572904586792,-0.21388266335236494
IMG_20220509_134210.jpg,6,-0.2922021150588989,-0.31730055809020996,-0.2235214794706053
IMG_20220509_134210.jpg,7,-0.3648121654987335,-0.26756078004837036,-0.200509511930818
IMG_20220509_134210.jpg,8,-0.37441784143447876,-0.20823323726654053,-0.17948567221867506
IMG_20220509_134210.jpg,9,-0.06402814388275146,-0.2754589319229126,-0.11785732309328978
IMG_20220509_134210.jpg,10,-0.26442575454711914,-0.3595283627510071,-0.14493075857865279
IMG_20220509_134210.jpg,11,-0.34864434599876404,-0.3039070963859558,-0.13611612568604414
IMG_20220509_134210.jpg,12,-0.3654928505420685,-0.24007821083068848,-0.12430347601878111
IMG_20220509_134210.jpg,13,-0.056849002838134766,-0.27743566036224365,-0.0225094566773123
IMG_20220509_134210.jpg,14,-0.23609504103660583,-0.34117093682289124,-0.04740659619676535
IMG_20220509_134210.jpg,15,-0.3131389021873474,-0.2901541590690613,-0.05169743399130766
IMG_20220509_134210.jpg,16,-0.32676976919174194,-0.23463964462280273,-0.05006183410989706
IMG_20220509_134210.jpg,17,-0.0726088285446167,-0.2654252052307129,0.06444278259766634
IMG_20220509_134210.jpg,18,-0.20362192392349243,-0.3092074394226074,0.03254084561956461
IMG_20220509_134210.jpg,19,-0.26958733797073364,-0.27729618549346924,0.014930810714190557
IMG_20220509_134210.jpg,20,-0.28960567712783813,-0.23809713125228882,0.009744740957444264
IMG_20220502_142601.jpg,0,0.0,0.0,0.0
IMG_20220502_142601.jpg,1,-0.12258976697921753,0.05573403835296631,-0.2086447024463567
IMG_20220502_142601.jpg,2,-0.2898207902908325,0.0590287446975708,-0.28530494810332385
IMG_20220502_142601.jpg,3,-0.45023325085639954,0.040240585803985596,-0.3034133756278905
IMG_20220502_142601.jpg,4,-0.5751864910125732,0.017430126667022705,-0.30673409939993945
IMG_20220502_142601.jpg,5,-0.25014615058898926,-0.1774892807006836,-0.29338650346983997
IMG_20220502_142601.jpg,6,-0.47682294249534607,-0.19379517436027527,-0.3392851495860967
IMG_20220502_142601.jpg,7,-0.570038914680481,-0.17285558581352234,-0.3547614061950597
IMG_20220502_142601.jpg,8,-0.6269561350345612,-0.16584518551826477,-0.3628390872596654
IMG_20220502_142601.jpg,9,-0.2564811706542969,-0.22969478368759155,-0.1814597839235219
IMG_20220502_142601.jpg,10,-0.4844762980937958,-0.22376888990402222,-0.22852654696692554
IMG_20220502_142601.jpg,11,-0.5844122469425201,-0.18412694334983826,-0.2395931178449544
IMG_20220502_142601.jpg,12,-0.6288439929485321,-0.1536196768283844,-0.24985532404173938
IMG_20220502_142601.jpg,13,-0.26750028133392334,-0.24170395731925964,-0.07604431302537051
IMG_20220502_142601.jpg,14,-0.4674162268638611,-0.27518215775489807,-0.13416042865504352
IMG_20220502_142601.jpg,15,-0.606223464012146,-0.28838661313056946,-0.19032438040961352
IMG_20220502_142601.jpg,16,-0.702835202217102,-0.30325472354888916,-0.23016959370364276
IMG_20220502_142601.jpg,17,-0.282692551612854,-0.23437222838401794,0.0208260776729432
IMG_20220502_142601.jpg,18,-0.3695947527885437,-0.30975067615509033,-0.04394333378662196
IMG_20220502_142601.jpg,19,-0.40685853362083435,-0.36999449133872986,-0.10441704781045047
IMG_20220502_142601.jpg,20,-0.43160489201545715,-0.427372470498085,-0.14828680397261707
IMG_20220509_140142.jpg,0,0.0,0.0,0.0
IMG_20220509_140142.jpg,1,0.10603782534599304,0.07510000467300415,-0.16041009408598939
