image,hand_point,x,y,z
IMG_20220522_164546.jpg,0,0.0,0.0,0.0
IMG_20220522_164546.jpg,1,-0.06384623050689697,-0.09037435054779053,-0.03933033667192376
IMG_20220522_164546.jpg,2,-0.19074058532714844,-0.1460888683795929,-0.0450084539471618
IMG_20220522_164546.jpg,3,-0.29482874274253845,-0.13078948855400085,-0.05072701297387994
IMG_20220522_164546.jpg,4,-0.35995814204216003,-0.10737171769142151,-0.04813597298846162
IMG_20220522_164546.jpg,5,-0.28784534335136414,-0.14405515789985657,0.0016954843312078083
IMG_20220522_164546.jpg,6,-0.3814276158809662,-0.1309930682182312,-0.06592101923808968
IMG_20220522_164546.jpg,7,-0.294087290763855,-0.1016344428062439,-0.10040189645872033
IMG_20220522_164546.jpg,8,-0.21710169315338135,-0.09352904558181763,-0.10875138215408242
IMG_20220522_164546.jpg,9,-0.29563578963279724,-0.07424241304397583,-0.000738258705609951
IMG_20220522_164546.jpg,10,-0.4020359516143799,-0.06304514408111572,-0.08012262306795037
IMG_20220522_164546.jpg,11,-0.2806549072265625,-0.04253929853439331,-0.0979203688322059
IMG_20220522_164546.jpg,12,-0.19419848918914795,-0.045229554176330566,-0.08181843481645501
IMG_20220522_164546.jpg,13,-0.28519773483276367,-0.010516464710235596,-0.014578990113591317
IMG_20220522_164546.jpg,14,-0.36568376421928406,0.005920112133026123,-0.09643999062166131
IMG_20220522_164546.jpg,15,-0.24162262678146362,0.008148252964019775,-0.08570585719928658
IMG_20220522_164546.jpg,16,-0.1690625548362732,-0.003937721252441406,-0.048761512559508446
IMG_20220522_164546.jpg,17,-0.25584661960601807,0.0506817102432251,-0.0308502273975364
IMG_20220522_164546.jpg,18,-0.3162897825241089,0.059493184089660645,-0.08541501633510507
IMG_20220522_164546.jpg,19,-0.2293851375579834,0.05296123027801514,-0.07130762509689248
IMG_20220522_164546.jpg,20,-0.17550724744796753,0.03868919610977173,-0.04075555450901902
IMG_20220502_124553.jpg,0,0.0,0.0,0.0
IMG_20220502_124553.jpg,1,-0.0883110761642456,0.05820506811141968,-0.11356653018094676
IMG_20220502_124553.jpg,2,-0.2046908438205719,0.04478400945663452,-0.15095332009889262
